Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SMA_Amphenol_132289_EdgeMount,1,Antenna_Shield,
AE2,PinHeader_1x02_P2.54mm_Vertical,1,Antenna_Loop,
C1,0603,1,2.2uF,
"C10, C5, C6",0603,3,0.47uF,
C11,0603,1,33pF,
C12,0603,1,0.1uF,
C14,0603,1,18pF,
C19,0603,1,22nF,
"C2, C7",0603,2,1uF,
C20,0603,1,100nF,
"C3, C4",0603,2,22pF,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
D10,SOT-143,1,PRTR5V0U2X,
"DIODE1, DIODE2, DIODE3, DIODE4, DIODE5, DIODE6",DIOAD753W49L380D172B,6,1N4148,
FB1,0805,1,2.5K,
FB2,0805,1,1k,
J2,MODULE_DM-OLED096-636,1,OLED,
J3,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,Speaker,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Battery Connection,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
L2,0603,1,180nH,
L3,0603,1,4.7uH,
"R3, R5",1206,2,100k,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,EC11 Encoder/SW,
"SW2, SW3, SW4, SW5, SW6, SW7",SW_FSM8JH,6,SW_Push,
U1,SSOP-24_3.9x8.7mm_P0.635mm,1,Si4735-D60-GU,
U2,MODULE_RP2040-ZERO,1,RP2040-ZERO,
U4,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,TPA6132A2RTE,
U5,SOT65P215X110-6N,1,PE4259,
Y1,Crystal_SMD_0603-2Pin_6.0x3.5mm_HandSoldering,1,32.768 kHz,
