Designator,Mid X,Mid Y,Rotation,Layer
AE1,94.19,-36.08,90.0,top
AE2,85.76,-55.655,180.0,top
C1,124.9,-49.59,180.0,top
C10,97.955,-69.765,180.0,top
C11,87.6,-61.5,270.0,top
C12,107.69,-41.14,270.0,top
C14,95.42,-57.6475,180.0,top
C19,108.8825,-63.365,0.0,top
C2,124.94,-51.38,0.0,top
C20,108.905,-64.855,0.0,top
C3,110.0525,-73.385,180.0,top
C4,96.755,-73.385,0.0,top
C5,115.72,-52.57,0.0,top
C6,115.72,-50.78,0.0,top
C7,124.87,-53.17,0.0,top
D1,147.78,-37.98,0.0,top
D10,89.81,-51.51,90.0,top
DIODE1,119.08,-89.43125,90.0,top
DIODE2,100.9,-83.67,0.0,top
DIODE3,110.9185,-93.17,180.0,top
DIODE4,107.21,-87.11,270.0,top
DIODE5,89.7985,-82.96,180.0,top
DIODE6,118.0815,-83.03,0.0,top
FB1,94.64,-54.99,270.0,top
FB2,113.6275,-63.355,180.0,top
J2,145.19,-83.1725,0.0,top
J3,120.48,-39.31,180.0,top
J4,137.505,-42.03,270.0,top
J5,107.6,-36.69,180.0,top
L2,96.775,-65.03,180.0,top
L3,92.0,-68.11,0.0,top
R3,147.31,-42.84,0.0,top
R5,152.32,-42.83,0.0,top
SW1,167.11,-85.22,270.0,top
SW2,112.93,-88.6225,180.0,top
SW3,101.425,-88.6225,180.0,top
SW4,89.92,-88.6225,180.0,top
SW5,102.3,-97.6425,0.0,top
SW6,113.805,-97.6425,0.0,top
SW7,125.31,-88.6275,0.0,top
U1,103.475,-65.575,270.0,top
U2,167.235,-45.105,0.0,top
U4,120.52,-51.73,0.0,top
U5,91.09,-61.39,270.0,top
Y1,103.4325,-73.175,0.0,top
