Item,Quantity,Unit Price (USD),Total Price (USD),Link
Waveshare RP2040 Zero,1,5.86,5.86,https://www.aliexpress.com/item/1005009026492881.html
1N5819 Diode,100,0.0549,5.49,https://www.aliexpress.com/item/1005010374297754.html
1N4148 Diode,100,0.0443,4.43,https://www.aliexpress.com/item/1005010373909049.html
SSD1306 OLED Display,1,5.33,5.33,https://www.aliexpress.com/item/1005006141235306.html
EC11 Encoder with Push Button Half Handle 20MM Shaft,5,1.262,6.31,https://www.aliexpress.com/item/1005005983134515.html
Si4735 D60 GU,1,15.52,15.52,https://www.aliexpress.com/item/1005007992766374.html
PE4259,20,0.248,4.96,https://www.aliexpress.com/item/32860670352.html
32.768 kHz Crystal SMD,10,0.501,5.01,https://www.aliexpress.com/item/1005007548931959.html
CM1213A-01SO,20,0.3045,6.09,https://www.aliexpress.com/item/1005010362089021.html
PAM8302A,10,0.415,4.15,https://www.aliexpress.com/item/1005011807938839.html
LM4910MM,5,2.286,11.43,https://www.aliexpress.com/item/1005008963839272.html
2.5K Ferrite Bead,100,0.0163,1.63,https://www.aliexpress.com/item/1005009841998170.html
1K Ferrite Bead,100,0.017,1.70,https://www.aliexpress.com/item/1005009841998170.html
"Capacitor Pack (100uF,10uF,100nF,22pF,1uF,0.47uF,33pF,18pF,22nF)",720,0.00863,6.21,https://www.aliexpress.com/item/1005006124283234.html
100 ohm Resistor 1206,100,0.0161,1.61,https://www.aliexpress.com/item/1005011924690352.html
20k ohm Resistor 1206,100,0.0161,1.61,https://www.aliexpress.com/item/1005011924690352.html
100k ohm Resistor 1206,100,0.0161,1.61,https://www.aliexpress.com/item/1005011924690352.html
SMA Connector Edge Mount,5,1.064,5.32,https://www.aliexpress.com/item/1005007424915378.html
180nH Inductor 0603,100,0.0133,1.33,https://www.aliexpress.com/item/1005004900337516.html
4.7uH Inductor 0603,100,0.0133,1.33,https://www.aliexpress.com/item/1005004900337516.html
Tactile Switches Push Buttons,20,0.206,4.12,https://www.aliexpress.com/item/1005006046180384.html
18650 Lithium Battery,2,2.08,4.16,https://store.roboticsbd.com/battery-charger/983-18650-generic-37v-li-ion-battery-standard-quality-flat-top-solderable-robotics-bangladesh.html
TP4056 BMS,1,4.02,4.02,https://www.aliexpress.com/item/1005009635476640.html
Rocker Switch,5,1.04,5.20,https://www.aliexpress.com/item/1005008778176373.html
M3 Heat Set Inserts,30,0.2043,6.13,https://www.aliexpress.com/item/1005006071488810.html
M3 Fasteners,50,0.1256,6.28,https://www.aliexpress.com/item/1005011845940916.html
Top Case,1,N/A (Printing Legion),N/A,
Bottom Case,1,N/A (Printing Legion),N/A,
Battery Cover,1,N/A (Printing Legion),N/A,
PCB (JLCPCB - 5 boards),5,5.534,27.67,JLCPCB
